unique_id	uniprot_domain
A0A024RBG1_chainsaw_001	18-148
A0A024RCN7_chainsaw_001	4-64
A0A075B6H5_chainsaw_001	17-110
A0A075B6H7_chainsaw_001	24-111
A0A075B6H8_chainsaw_001	26-112
A0A075B6H9_chainsaw_001	24-114
A0A075B6I0_chainsaw_001	28-116
A0A075B6I1_chainsaw_001	25-116
A0A075B6I3_chainsaw_001	23-118
A0A075B6I4_chainsaw_001	37-109
A0A075B6I6_chainsaw_001	37-111
A0A075B6I7_chainsaw_001	23-102
A0A075B6I9_chainsaw_001	23-111
A0A075B6J1_chainsaw_001	37-119
A0A075B6J2_chainsaw_001	37-111
A0A075B6J6_chainsaw_001	24-110
A0A075B6J9_chainsaw_001	37-111
A0A075B6K0_chainsaw_001	35-109
A0A075B6K2_chainsaw_001	23-109
A0A075B6K4_chainsaw_001	35-109
A0A075B6K5_chainsaw_001	23-109
A0A075B6K6_chainsaw_001	23-121
A0A075B6L2_chainsaw_001	19-115
A0A075B6L6_chainsaw_001	24-114
A0A075B6N1_chainsaw_001	23-113
A0A075B6N2_chainsaw_001	17-110
A0A075B6N3_chainsaw_001	23-113
A0A075B6N4_chainsaw_001	23-113
A0A075B6P5_chainsaw_001	24-115
A0A075B6Q5_chainsaw_001	23-117
A0A075B6R0_chainsaw_001	22-115
A0A075B6R2_chainsaw_001	22-116
A0A075B6R9_chainsaw_001	24-115
A0A075B6S2_chainsaw_001	24-115
A0A075B6S4_chainsaw_001	26-112
A0A075B6S5_chainsaw_001	26-112
A0A075B6S6_chainsaw_001	24-115
A0A075B6S9_chainsaw_001	26-112
A0A075B6T6_chainsaw_001	25-112
A0A075B6T7_chainsaw_001	43-131
A0A075B6T8_chainsaw_001	22-111
A0A075B6U4_chainsaw_001	24-111
A0A075B6U6_chainsaw_001	19-111
A0A075B6V5_chainsaw_001	25-112
A0A075B6W5_chainsaw_001	32-118
A0A075B6X5_chainsaw_001	22-110
A0A075B734_chainsaw_001	30-280
A0A075B759_chainsaw_001	5-163
A0A075B767_chainsaw_001	5-163
A0A075B7B6_chainsaw_001	22-116
A0A075B7B8_chainsaw_001	4-116
A0A075B7D0_chainsaw_001	22-116
A0A075B7D4_chainsaw_001	26-112
A0A075B7D8_chainsaw_001	22-118
A0A075B7E8_chainsaw_001	22-116
A0A075B7F0_chainsaw_001	22-115
A0A075B7F1_chainsaw_001	22-115
A0A087WSX0_chainsaw_001	22-119
A0A087WSY4_chainsaw_001	22-117
A0A087WSY6_chainsaw_001	24-110
A0A087WSZ0_chainsaw_001	26-112
A0A087WSZ9_chainsaw_001	25-111
A0A087WT01_chainsaw_001	22-108
A0A087WT02_chainsaw_001	22-111
A0A087WT03_chainsaw_001	35-108
A0A087WTH1_chainsaw_001	2-107
A0A087WUL8_chainsaw_001	10-17_39-40_43-45_47-47_54-64_66-78_82-82_90-91_94-94_134-140_146-160_162-162
A0A087WUL8_chainsaw_002	18-38_41-42_46-46_48-53_65-65_79-81_83-89_92-93_95-133_141-145_161-161
A0A087WUV0_chainsaw_001	37-362
A0A087WUV0_chainsaw_002	369-517
A0A087WV53_chainsaw_001	52-145
A0A087WV53_chainsaw_002	147-237
A0A087WV62_chainsaw_001	24-114
A0A087WVF3_chainsaw_001	1-215
A0A087WVF3_chainsaw_002	232-356
A0A087WW49_chainsaw_001	22-116
A0A087WW87_chainsaw_001	24-116
A0A087WWA1_chainsaw_001	58-87
A0A087WXS9_chainsaw_001	3-215
A0A087WXS9_chainsaw_002	232-356
A0A087WYE8_chainsaw_001	22-116
A0A087WZ39_chainsaw_001	23-113
A0A087X0K7_chainsaw_001	24-113
A0A087X0M5_chainsaw_001	23-114
A0A087X179_chainsaw_001	3-215
A0A087X179_chainsaw_002	232-356
A0A087X1C5_chainsaw_001	3-92
A0A087X1C5_chainsaw_002	105-310
